ClientId,EGT FreeSpin,FreeSpin SayYo,FreeSpin_0 Playtech,FreeSpin_0 Popok,FreeSpin_0 TopGame,FreeSpin,CasinoWageringCost,LoyaltyCost,HarmonyFreespin,CasinoCashback,CasinoCorrection,CasinoNGR,CasinoGGR
2054253,3.0024773000000002,0.0,0.0,2.64674639,0.0,0.767023,13.931732499999999,0.0,0.0,0.0,0.49106047500000005,-94.61143545499998,-61.38176791999996
2070756,9.989748500000001,0.0,0.0,8.5564894,0.08903362000000001,4.2721527,2.05848,0.0,0.0,1.4675305575,0.0,59.828200984600045,86.26163576210006
2091474,62.04707155,0.0,0.0,48.47567592,2.5500120500000003,7.207065699999999,328.9511515,0.0,0.0,77.7365744201,369.861196221,-121.3666172161,825.8360509449999
2091918,7.9644565,0.0,0.0,33.27878372,0.55335234,2.1594009,0.0,0.0,0.0,0.0,31.776812755,30.979084077599964,106.71189029259997
2104572,2.0998682,0.0,0.0,2.9459602,0.0,2.3695279,0.0,0.0,0.0,0.0,0.794419483,-8.857393713,0.1649522
2108753,1.1152864,0.0,0.0,3.38326224,0.06112392,2.3762042,0.0,0.0,0.0,0.0,38.822317158000004,-48.480866218,0.2464161
2109414,5.72551615,0.0,0.0,13.57645917,0.0,2.0743212,0.0,0.0,0.0,0.0,0.0,-110.31642190999999,-84.30496538999999
2111667,2.8494568,0.0,0.0,1.9589674,0.0,4.0697106000000005,0.0,0.0,0.0,29.824918095988004,31.535919047,175.43113945701214,247.9621314000001
2115349,6.6479839,0.0,0.0,8.77163318,0.34541221,6.461621399999999,10.80379,0.0,0.0,0.0,20.936688121,-39.975585911,16.2928829
2115434,1.3533918,0.0,0.0,2.42553576,0.0,2.1951568,0.0,0.0,0.0,0.0,4.136462387,-232.94500598460004,-222.83445923760002
2116098,1.1774902,0.0,0.0,4.27643998,0.0,4.5428331,0.0,0.0,0.0,0.0,0.0,50.8152053,60.81196858
2117758,4.25551645,0.0,0.0,58.71038433,0.14768838,7.3272876,19.244546,0.0,0.0,4.5304542912,810.8490035189999,-565.6968002302001,344.0918403399998
2118262,0.0,0.0,0.0,4.953011,0.0,10.305407800000001,0.0,0.0,0.0,11.9968535376,3.025164412,-150.02890813960005,-112.11164470000003
2118500,4.37419915,0.0,0.0,9.44264446,0.0,3.0395872,0.0,0.0,0.0,32.031883146,549.718640151,-50.84274914770006,550.1046049593
2128526,2.1477543,0.0,0.0,7.74479552,0.0,2.8629888,0.0,0.0,0.0,0.0,0.588543657,15.235356782999986,30.845349059999982
2133659,2.3545296000000002,0.0,0.0,3.19200426,0.0,2.8408564,10.7117565,0.0,0.0,0.0,2.36716255,-138.07905945,-85.01039906999999
2136080,7.055653,0.0,0.0,3.29895152,0.57138655,3.6985903999999996,21.144425,0.0,0.0,0.0,3.170698282,-40.270685451999995,0.9336192999999997
2138379,3.1008259,0.0,0.0,14.1589642,1.0409651000000002,4.4323539,0.0,0.0,0.0,92.7528375841,110.193361338,146.55163348789998,380.35838773000006
2143095,2.2629409,0.0,0.0,4.1835192800000005,0.0,6.4183516,0.0,0.0,0.0,10.10752745054,12.054139645,-348.8646802895405,-311.38642109400047
2145893,1.1211494000000002,0.0,0.0,0.19471346,0.0,0.0,0.0,0.0,0.0,14.568745686,294.86177405400014,-66.11982069000038,259.08602490999965
2146898,7.4081723,0.0,0.0,5.414235489999999,0.0,5.3039846,0.5721075,0.0,0.0,0.0,0.0,-9.365990980000001,11.67818891
2151195,13.72851545,0.0,0.0,15.42622766,0.14880448,12.172001999999999,0.720912,0.0,0.0,0.0,0.0,-14.402551550000009,39.12107003999999
2152385,0.5470444999999999,0.0,0.0,3.84806224,0.0,0.5292543999999999,0.0,0.0,0.0,0.0,24.906089026,-54.079344350999996,-24.248894184999997
2153219,6.065816000000001,0.0,0.0,19.92654592,0.29403738,7.3022399,66.141887106,0.0,0.0,4.709752349022001,0.454703625,35.645225284978025,145.07972756499998
2155489,8.2459329,0.0,0.0,8.966840809999999,0.25083582,10.0944909,13.714323499999999,0.0,0.0,0.0,0.0,-6.923760455000004,39.66195272499999
2159781,10.2388924,0.0,0.0,8.971964700000001,0.0,12.972764,6.0759,0.0,0.0,0.0,0.0,-35.49366528999999,14.511974140000014
2160704,1.9880351,0.0,0.0,58.2102621,0.198934,0.5815887000000001,0.0,0.0,0.0,1.9025476160160002,0.0,-111.08215986001596,-48.20079234399997
2161171,8.1307543,0.0,0.0,12.83959546,0.0,24.4246762,0.0,0.0,0.0,0.0,2.1605744000000002,26.392661870000033,83.12697223000004
2164520,92.6280362,0.0,0.0,144.36352275,0.0,105.3422592,26.896804,0.0,0.0,512.3505158338501,6700.319791515999,-2932.8433078488592,5770.875551650992
2165799,4.743136,0.0,0.0,10.72788991,0.49506297000000005,4.2708412000000004,0.0,0.0,0.0,0.0,0.0,67.60714134499999,92.40239142499999
2167081,0.0,0.0,0.0,2.30079102,2.1983364,0.0,0.0,0.0,0.0,41.496844786000004,46.65526881699999,673.8780926970002,766.5293337200002
2169030,10.66768775,0.0,0.0,13.24952469,0.0,18.154766,0.0,0.0,0.0,0.0,0.0,13.895677010000005,66.50569545
2169129,10.6596383,0.0,0.0,19.41211051,0.95551245,27.7561129,6.3973702,0.0,0.0,0.0,3.018478447,-48.29817097699993,28.634606470000094
2171462,5.3086022,0.0,0.0,12.67189448,5.33890282,13.1594822,0.0,0.0,0.0,0.0,1.13331,-22.363861601499984,15.248330098500016
2176293,5.6967295,0.0,0.0,11.06746981,0.0,5.8025442,13.3820372,0.0,0.0,0.0,10.311141931,17.918256358999997,64.17817899999999
2177230,0.0,0.0,0.0,16.8382284,0.0,0.0,0.0,0.0,0.0,315.445321822325,7494.2450751199995,-5548.173794082324,2368.9847254800006
2178182,4.71975085,0.0,0.0,9.85973155,0.20115049999999998,8.3049817,0.0,0.0,0.0,0.0,0.0,-45.58795421400001,-20.161939613999998
2192476,4.3464896,0.0,0.0,6.81859315,0.5151162499999999,4.4931066,0.0,0.0,0.0,0.0,0.0,-23.053233959999996,-2.1733983599999993
2202037,1.9749476,0.0,0.0,42.544322890000004,0.45792999,0.27801750000000003,0.0,0.0,0.0,14.943771639000001,0.0,167.27595848099995,227.47494809999995
2204493,1.2237549,0.0,0.0,0.7097496900000001,0.0,1.5840661999999999,0.0,0.0,0.0,0.0,1.229568903,-217.15396915899993,-194.794282166
2205527,3.6503541999999998,0.0,0.0,7.369030319999999,0.04697,2.090165,4.5447,0.0,0.0,0.0,0.0,-28.880159111999998,0.012253728000001907
2210142,2.2626132,0.0,0.0,2.35841744,3.90321152,1.8095044999999998,0.0,0.0,0.0,0.0,59.57768117,-94.6969212,-23.635589469999996
2221042,0.4158942,0.0,0.0,7.1435264400000005,0.0,0.8693754,0.0,0.0,0.0,0.0,0.5580904,5.607615503000016,14.594501943000015
2224982,9.293319,0.0,0.0,15.107185459999998,0.80300304,19.0556649,23.51712,0.0,0.0,0.0,1.940367596,-6.63941264599999,70.11933735
